stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,import_id,city_name,ext_siri1_id,ext_stop_headsigns,stop_code_insee
AMLU02,AMLU02,Ametz Lura,Saint-Pierre-d'Irube - Ametz Lura,43.46156700,-1.43298900,,,0,place_AMLU,2,AMLU02,Saint-Pierre-d'Irube,AMLU02,Direction ~ Norabidea: Saint Pierre D'Irube Mur à gauche/Hillans / Saint Pierre D'Irube Bel Air,64496
ADUF01,ADUF01,Amédée Dufourg,Anglet - Amédée Dufourg,43.48229300,-1.51488400,,,0,place_ADUF,2,ADUF01,Anglet,ADUF01,Direction ~ Norabidea: Anglet Chambre d'Amour,64024
ADUF02,ADUF02,Amédée Dufourg,Anglet - Amédée Dufourg,43.48212800,-1.51496500,,,0,place_ADUF,2,ADUF02,Anglet,ADUF02,Direction ~ Norabidea: Anglet Coeur de Sutar/Troix Croix,64024
ABBA01,ABBA01,Antoine d'Abbadie,Bidart - Antoine d'Abbadie,43.44758100,-1.55627100,,,0,place_ABBA,2,ABBA01,Bidart,ABBA01,Direction ~ Norabidea: Biarritz Aéroport/Bidart Izarbel,64125
ABBA02,ABBA02,Antoine d'Abbadie,Bidart - Antoine d'Abbadie,43.44767800,-1.55615500,,,0,place_ABBA,2,ABBA02,Bidart,ABBA02,Direction ~ Norabidea: Bayonne Sainsontan,64125
ABBA11,ABBA11,Antoine d'Abbadie,Bidart - Antoine d'Abbadie,43.44778300,-1.55707600,,,0,place_ABBA,2,ABBA11,Bidart,ABBA11,Direction ~ Norabidea: Bidart Mairie de Bidart,64125
ABBA12,ABBA12,Antoine d'Abbadie,Bidart - Antoine d'Abbadie,43.44774300,-1.55690600,,,0,place_ABBA,2,ABBA12,Bidart,ABBA12,Direction ~ Norabidea: Bayonne Marrac,64125
ARAG01,ARAG01,Aragon,Boucau - Aragon,43.53354900,-1.47770800,,,0,place_ARAG,2,ARAG01,Boucau,ARAG01,Direction ~ Norabidea: Anglet Quintaou/Endarra,64140
ARAG02,ARAG02,Aragon,Boucau - Aragon,43.53351500,-1.47759200,,,0,place_ARAG,2,ARAG02,Boucau,ARAG02,Direction ~ Norabidea: Tarnos Square Mora,64140
ARAN01,ARAN01,Arans,Bayonne - Arans,43.48143400,-1.47952200,,,0,place_ARAN,1,ARAN01,Bayonne,ARAN01,Direction ~ Norabidea: Bayonne Hôpital,64102
ABOU01,ABOU01,Arcangues Bourg,Arcangues - Arcangues Bourg,43.43514600,-1.51888600,,,0,place_ABOU,2,ABOU01,Arcangues,ABOU01,Direction ~ Norabidea: Biarritz Gare de Biarritz,64038
ABOU02,ABOU02,Arcangues Bourg,Arcangues - Arcangues Bourg,43.43557800,-1.51940000,,,0,place_ABOU,2,ABOU02,Arcangues,ABOU02,Direction ~ Norabidea: Bayonne Place des Basques,64038
ARG02,ARG02,Argote,Bayonne - Argote,43.49522000,-1.46417400,,,0,place_ARG,2,ARG02,Bayonne,ARG02,Direction ~ Norabidea: Bayonne Quartier Arènes,64102
ARKI01,ARKI01,Arguizabal,Villefranque - Arguizabal,43.44213900,-1.45823900,,,0,place_ARKI,2,ARKI01,Villefranque,ARKI01,Direction ~ Norabidea: Bayonne Place des Basques,64558
ARKI02,ARKI02,Arguizabal,Villefranque - Arguizabal,43.44230900,-1.45860700,,,0,place_ARKI,2,ARKI02,Villefranque,ARKI02,Direction ~ Norabidea: Villefranque Mendiburua,64558
ARIT01,ARIT01,Aritxague,Anglet - Aritxague,43.47391300,-1.49576700,,,0,place_ARIT,2,ARIT01,Anglet,ARIT01,Direction ~ Norabidea: Anglet Quintaou/Endarra,64024
ARIT02,ARIT02,Aritxague,Anglet - Aritxague,43.47380200,-1.49581100,,,0,place_ARIT,2,ARIT02,Anglet,ARIT02,Direction ~ Norabidea: Tarnos Square Mora,64024
ARTO01,ARTO01,Armand Toulet,Anglet - Armand Toulet,43.48702100,-1.50099000,,,0,place_ARTO,2,ARTO01,Anglet,ARTO01,Direction ~ Norabidea: Biarritz Mairie de Biarritz Louis Barthou / Bayonne Gare de Bayonne Parvis,64024
ARTO02,ARTO02,Armand Toulet,Anglet - Armand Toulet,43.48706300,-1.50086300,,,0,place_ARTO,2,ARTO02,Anglet,ARTO02,Direction ~ Norabidea: Bayonne Hauts de Bayonne / Biarritz Gare - Halle Iraty,64024
AROT11,AROT11,Arotzaenea,Saint-Pierre-d'Irube - Arotzaenea,43.46643400,-1.44433300,,,0,place_AROT,2,AROT11,Saint-Pierre-d'Irube,AROT11,Direction ~ Norabidea: Bayonne Place des Basques / Biarritz Gare de Biarritz,64496
AROT12,AROT12,Arotzaenea,Saint-Pierre-d'Irube - Arotzaenea,43.46623800,-1.44436500,,,0,place_AROT,2,AROT12,Saint-Pierre-d'Irube,AROT12,Direction ~ Norabidea: Saint Pierre d'Irube C.Cial Ametzondo,64496
ARRO01,ARRO01,Arrousets,Bayonne - Arrousets,43.49853000,-1.43658000,,,0,place_ARRO,2,ARRO01,Bayonne,ARRO01,Direction ~ Norabidea: Anglet Chambre d'Amour,64102
