stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,city_name,direction_id,ext_oldid,ext_zenbus_id
CACH02,,Chocolaterie,Chocolaterie - Cambo-les-Bains,43.35335100,-1.39859100,,,0,place_CACH,0,Cambo-les-Bains,1,771470042,CACH02
URCH01,,Château d'eau,Château d'eau - Urcuit,43.48738600,-1.35632600,,,0,place_URCH,0,Urcuit,0,15825_1,URCH01
URCH02,,Château d'eau,Château d'eau - Urcuit,43.48724300,-1.35631700,,,0,place_URCH,0,Urcuit,1,15825_2,URCH02
URCL01,,Clos Biscarrague,Clos de Biscarrague - Urcuit,43.48747194,-1.34422469,,,0,place_URCL,0,Urcuit,0,22129275,URCL01
URCL02,,Clos Biscarrague,Clos de Biscarrague - Urcuit,43.48711387,-1.34364265,,,0,place_URCL,0,Urcuit,1,22129283,URCL02
SACOL0,,Col de Saint Ignace ~ San Inazioko Lepoa,Sare - Col de Saint Ignace ~ San Inazioko Lepoa,43.32525500,-1.60056800,,,0,place_SACOL,0,Sare,,,SACOL0
SACJ01,,Collège Jean Pujo,Collège Jean Pujo - Saint-Étienne-de-Baïgorry,43.18250000,-1.33510000,,,0,place_SACJ,0,Saint-Étienne-de-Baïgorry,0,17243_1;16869457,SACJ01
SACJ02,,Collège Jean Pujo,Collège Jean Pujo - Saint-Étienne-de-Baïgorry,43.18260000,-1.33510000,,,0,place_SACJ,0,Saint-Étienne-de-Baïgorry,1,17243_2;16869459,SACJ02
AIDAN3,,Dantxaria ~ Dantxarinea,Ainhoa - Dantxaria ~ Dantxarinea,43.29348200,-1.50475000,,,0,place_AIDAN,0,Ainhoa,,,AIDAN3
URDE01,,Destinée,Destinée - Urcuit,43.48780200,-1.35028000,,,0,place_URDE,0,Urcuit,0,26220_1,URDE01
URDE02,,Destinée,Destinée - Urcuit,43.48776400,-1.34997300,,,0,place_URDE,0,Urcuit,1,26220_2,URDE02
DOPL01,,Domezain Place,Domezain Place - Domezain-Berraute,43.32592600,-0.96540300,,,0,place_DOPL,0,Domezain-Berraute,,17796_1,DOPL01
CADO01,,Donapetria,Donapetria - Cambo-les-Bains,43.36250300,-1.38048100,,,0,place_CADO,0,Cambo-les-Bains,,540030002,CADO01
LADO01,,Doria,Doria - Lahonce,43.47324000,-1.39613600,,,0,place_LADO,0,Lahonce,0,17738_1,LADO01
LADO02,,Doria,Doria - Lahonce,43.47305000,-1.39569900,,,0,place_LADO,0,Lahonce,1,17738_2,LADO02
SPECO1,,Ecole d'Amotz ~ Amotzeko Eskola,Saint-Pée-sur-Nivelle - Ecole d'Amotz ~ Amotzeko Eskola,43.33531728,-1.54880283,,,0,place_SPECO,0,Saint-Pée-sur-Nivelle,,510,SPECO1
SPECO2,,Ecole d'Amotz ~ Amotzeko Eskola,Saint-Pée-sur-Nivelle - Ecole d'Amotz ~ Amotzeko Eskola,43.33532898,-1.54858825,,,0,place_SPECO,0,Saint-Pée-sur-Nivelle,1,,SPECO2
EDF01,,EDF,EDF - Bayonne,43.47025700,-1.48838000,,,0,place_EDF,0,Bayonne,1,27563_2,EDF01
EDF02,,EDF,EDF - Bayonne,43.47048400,-1.48811300,,,0,place_EDF,0,Bayonne,0,27563_1,EDF02
AREG01,,Eglise,Eglise - Arraute-Charritte,43.39996900,-1.10832300,,,0,place_AREG,0,Arraute-Charritte,0,15145_1,AREG01
AREG02,,Eglise,Eglise - Arraute-Charritte,43.39984400,-1.10832900,,,0,place_AREG,0,Arraute-Charritte,1,15145_2,AREG02
GAEG01,,Eglise,Eglise - Garris,43.34042100,-1.05873300,,,0,place_GAEG,0,Garris,0,18748_1,GAEG01
GAEG02,,Eglise,Eglise - Garris,43.34071500,-1.05922300,,,0,place_GAEG,0,Garris,1,18748_2,GAEG02
SAEG01,,Eglise,Eglise - Saint-Palais,43.32658200,-1.03500100,,,0,place_SAEG,0,Saint-Palais,,15365_1,SAEG01
USEG01,,Eglise,Eglise - Ustaritz,43.39825400,-1.45474600,,,0,place_USEG,0,Ustaritz,0,18092_1,USEG01
USEG02,,Eglise,Eglise - Ustaritz,43.39938000,-1.45597500,,,0,place_USEG,0,Ustaritz,1,18092_2,USEG02
MOEG01,,Eglise du Bourg,Eglise du Bourg - Mouguerre,43.46723500,-1.41630700,,,0,place_MOEG,0,Mouguerre,,18351_1,MOEG01
CAEL01,,Elorrimendi,Elorrimendi - Cambo-les-Bains,43.35478500,-1.40553900,,,0,place_CAEL,0,Cambo-les-Bains,0,777510033,CAEL01
CAEL02,,Elorrimendi,Elorrimendi - Cambo-les-Bains,43.35477400,-1.40558000,,,0,place_CAEL,0,Cambo-les-Bains,1,740780001,CAEL02
IREN01,,Entrée du Village,Entrée du Village - Irouléguy,43.17698000,-1.30162100,,,0,place_IREN,0,Irouléguy,,26577_1,IREN01
CAER01,,Errobi Ikastola,Errobi Ikastola - Cambo-les-Bains,43.36045400,-1.40572500,,,0,place_CAER,0,Cambo-les-Bains,0,771490001,CAER01
